rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,shortHandedAssists,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"26","Marc-Andre Fleury","26","PIT","65","62","36","20","5","143","1742","1599",".918","2.32","3","3695","37",".597","10","94","8.76","0","1","1","10"
"27","Mathieu Garon","33","CBJ","36","29","10","14","6","88","887","799",".901","2.72","3","1938","10",".345","5","114","-10.73","0","1","1","2"
"28","Martin Gerber","36","EDM","3","3","3","0","0","4","95","91",".958","1.30","0","185","3","1.000","0","","","0","1","1","0"
"29","Jean-Sebastien Giguere","33","TOR","33","26","11","11","4","78","777","699",".900","2.87","0","1633","13",".500","3","115","-10.31","0","0","0","4"
"30","Jonas Gustavsson","26","TOR","23","21","6","13","2","68","620","552",".890","3.29","0","1242","6",".286","4","126","-13.99","0","0","0","0"
"31","Jaroslav Halak","25","STL","57","57","27","21","7","136","1518","1382",".910","2.48","7","3294","32",".561","7","103","-3.76","0","0","0","6"
"32","Johan Hedberg","37","NJD","34","27","15","12","2","68","777","709",".912","2.38","3","1717","17",".630","4","100","-0.31","0","1","1","4"
"33","Jonas Hiller","28","ANA","49","46","26","16","3","114","1493","1379",".924","2.56","5","2672","26",".565","5","88","16.06","0","1","1","0"
"34","Braden Holtby","21","WSH","14","12","10","2","2","22","332","310",".934","1.79","2","736","8",".667","2","76","6.92","0","1","1","0"
"35","Jimmy Howard","26","DET","63","63","37","17","5","168","1830","1662",".908","2.79","2","3615","30",".476","8","105","-8.58","0","1","1","4"
"36","Brent Johnson","33","PIT","23","20","13","5","3","47","604","557",".922","2.17","1","1297","15",".750","4","89","5.62","0","1","1","24"
"37","Chad Johnson","24","NYR","1","0","0","0","0","2","11","9",".818","6.00","0","20","0","","0","","","0","0","0","0"
"38","Henrik Karlsson","27","CGY","17","11","4","5","6","36","391","355",".908","2.58","0","838","6",".545","3","106","-1.94","0","0","0","0"
"39","Nikolai Khabibulin","38","EDM","47","46","10","32","4","153","1389","1236",".890","3.40","2","2701","15",".326","12","126","-32.00","0","0","0","12"
"40","Anton Khudobin","24","MIN","4","3","2","1","0","5","86","81",".942","1.59","1","189","2",".667","1","","","0","0","0","0"
"41","Miikka Kiprusoff","34","CGY","71","71","37","24","6","182","1935","1753",".906","2.63","6","4156","39",".549","14","108","-13.43","0","1","1","2"
"42","Mikko Koskinen","22","NYI","4","4","2","1","0","15","118","103",".873","4.33","0","208","2",".500","2","","","0","0","0","0"
"43","Jason LaBarbera","31","PHX","17","15","7","6","3","48","529","481",".909","3.26","2","883","10",".667","3","104","-1.92","0","0","0","2"
"44","Patrick Lalime","36","BUF","7","4","0","5","0","18","163","145",".890","2.96","0","365","0",".000","1","","","0","1","1","0"
"45","Nathan Lawson","27","NYI","10","7","1","4","2","26","243","217",".893","4.06","0","384","3",".429","2","","","0","0","0","0"
"46","Pascal Leclaire","28","OTT","14","13","4","7","1","36","391","355",".908","2.83","0","763","8",".615","1","106","-1.94","0","0","0","0"
"47","Robin Lehner","19","OTT","8","5","1","4","0","20","178","158",".888","3.52","0","341","1",".200","2","","","0","0","0","2"
"48","Kari Lehtonen","27","DAL","69","68","34","24","11","175","2043","1868",".914","2.55","3","4119","38",".559","8","98","2.98","0","6","6","6"
"49","Michael Leighton","29","PHI","1","1","1","0","0","4","36","32",".889","4.00","0","60","0",".000","0","","","0","0","0","0"
"50","David LeNeveu","27","CBJ","1","0","0","0","0","2","12","10",".833","6.00","0","20","0","","0","","","0","0","0","0"
"51","Anders Lindback","22","NSH","22","18","11","5","2","49","576","527",".915","2.60","2","1131","12",".667","2","98","1.18","0","0","0","0"
"52","Henrik Lundqvist","28","NYR","68","67","36","27","5","152","1965","1813",".923","2.28","11","4007","36",".537","9","89","19.18","0","4","4","6"
"53","Roberto Luongo","31","VAN","60","60","38","15","7","126","1753","1627",".928","2.11","4","3590","40",".667","4","83","26.71","0","3","3","2"
"54","Joey MacDonald","30","DET","15","9","5","5","3","31","372","341",".917","2.58","1","721","3",".333","2","96","1.41","0","0","0","0"
"55","Peter Mannino","26","ATL","2","0","0","0","0","5","36","31",".861","4.11","0","73","0","","0","","","0","0","0","0"
"56","Jacob Markstrom","21","FLA","1","0","0","1","0","2","14","12",".857","3.00","0","40","0","","0","","","0","0","0","0"
"57","Chris Mason","34","ATL","33","27","13","13","3","95","882","787",".892","3.39","1","1682","9",".333","6","124","-18.16","0","0","0","4"
"58","Steve Mason","22","CBJ","54","53","24","21","7","153","1541","1388",".901","3.03","3","3027","25",".472","14","114","-18.75","0","1","1","2"
"59","Thomas McCollum","21","DET","1","0","0","0","0","3","8","5",".625","12.00","0","15","0","","0","","","0","0","0","0"
"60","Curtis McElhinney","27","TOT","28","22","9","13","1","74","721","647",".897","3.18","2","1395","9",".409","7","118","-11.19","0","1","1","0"
"61","Mike McKenna","27","NJD","2","1","0","1","0","6","56","50",".893","3.05","0","118","0",".000","0","","","0","0","0","0"
"62","Ryan Miller","30","BUF","66","65","34","22","8","165","1964","1799",".916","2.59","5","3829","39",".600","9","96","6.10","0","2","2","6"
"63","Al Montoya","25","NYI","20","18","9","5","5","46","585","539",".921","2.39","1","1154","13",".722","0","90","4.96","0","1","1","2"
"64","Michal Neuvirth","22","WSH","48","44","27","12","4","110","1283","1173",".914","2.45","4","2689","21",".477","4","98","1.77","0","0","0","0"
"65","Antti Niemi","27","SJS","60","60","35","18","6","140","1741","1601",".920","2.38","6","3524","37",".617","6","92","11.67","0","1","1","2"
"66","Antero Niittymaki","30","SJS","24","22","12","7","3","64","615","551",".896","2.72","0","1414","11",".500","5","119","-10.42","0","0","0","2"
"67","Chris Osgood","38","DET","11","10","5","3","2","29","298","269",".903","2.77","0","629","5",".500","2","","","0","0","0","4"
"68","Ondrej Pavelec","23","ATL","58","54","21","23","9","147","1705","1558",".914","2.73","4","3225","26",".481","8","99","1.53","0","0","0","4"
"69","Justin Peters","24","CAR","12","8","3","5","1","43","343","300",".875","3.98","0","648","3",".375","1","144","-13.12","0","0","0","4"
"70","Timo Pielmeier","21","ANA","1","0","0","0","0","5","12","7",".583","7.50","0","40","0","","0","","","0","0","0","0"
"71","Kevin Poulin","20","NYI","10","7","4","2","1","20","262","242",".924","2.44","0","491","5",".714","1","","","0","0","0","0"
"72","Carey Price","23","MTL","72","70","38","28","6","165","2147","1982",".923","2.35","8","4206","42",".600","9","88","22.04","0","2","2","13"
"73","Jonathan Quick","25","LAK","61","60","35","22","3","134","1631","1497",".918","2.24","6","3591","37",".617","7","94","8.09","0","2","2","0"
"74","Tuukka Rask","23","BOS","29","27","11","14","2","71","866","795",".918","2.67","2","1594","16",".593","4","94","4.44","0","0","0","2"
"75","Andrew Raycroft","30","DAL","19","14","8","5","0","40","446","406",".910","2.83","2","847","7",".500","4","103","-1.15","0","0","0","0"
"76","James Reimer","22","TOR","37","35","20","10","5","90","1134","1044",".921","2.60","3","2080","21",".600","4","91","8.79","0","1","1","2"
"77","Pekka Rinne","28","NSH","64","64","33","22","9","134","1905","1771",".930","2.12","6","3789","43",".672","8","81","31.96","0","0","0","12"
"78","Dwayne Roloson","41","TOT","54","54","24","25","5","138","1596","1458",".914","2.59","4","3199","30",".556","8","99","1.04","0","2","2","8"
"79","Cory Schneider","24","VAN","25","22","16","4","2","51","714","663",".929","2.23","1","1372","15",".682","3","82","11.20","0","3","3","0"
"80","Mike Smith","28","TBL","22","20","13","6","1","58","576","518",".899","2.90","1","1202","10",".500","5","116","-7.82","0","1","1","2"
"81","Alex Stalock","23","SJS","1","0","1","0","0","0","9","9","1.000","0.00","0","30","0","","0","","","0","0","0","0"
"82","Jose Theodore","34","MIN","32","29","15","11","3","81","963","882",".916","2.71","1","1793","16",".552","2","97","2.89","0","0","0","2"
"83","Tim Thomas","36","BOS","57","55","35","11","9","112","1811","1699",".938","2.00","9","3364","41",".745","3","71","45.77","0","3","3","13"
"84","Marty Turco","35","CHI","29","27","11","11","3","82","799","717",".897","3.02","1","1631","10",".370","5","118","-12.39","0","0","0","6"
"85","Semyon Varlamov","22","WSH","27","25","11","9","5","58","759","701",".924","2.23","2","1560","18",".720","2","88","8.12","0","0","0","2"
"86","Tomas Vokoun","34","FLA","57","57","22","28","5","137","1753","1616",".922","2.55","6","3224","31",".544","8","90","15.71","0","1","1","2"
"87","Cam Ward","26","CAR","74","73","37","26","10","184","2375","2191",".923","2.56","4","4318","43",".589","8","89","22.90","0","1","1","0"
